source_varname,name,cleaning_data_type,final_data_type,oldexpr1,newexpr1,oldexpr2,newexpr2,oldexpr3,newexpr3,oldexpr4,newexpr4,oldexpr5,newexpr5
found,found,integer,integer,,,,,,,,,,
sibs,sibs,integer,integer,,,,,,,,,,
partners,partners,integer,integer,,,,,,,,,,
memlit,memlit,integer,integer,,,,,,,,,,
helpjob,helpjob,integer,integer,,,,,,,,,,
bible,bible,integer,integer,bible == 4,,,,,,,,,
cowork1,cowork1,integer,integer,,,,,,,,,,
coneduc,coneduc,integer,integer,,,,,,,,,,
tvmov30,tvmov30,integer,integer,,,,,,,,,,
jobfrnds,jobfrnds,integer,integer,,,,,,,,,,
numunion,numunion,integer,integer,,,,,,,,,,
mtlit2,mtlit2,integer,integer,,,,,,,,,,
mtother5,mtother5,integer,integer,,,,,,,,,,
